DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
10/13/16,212.16,213.59,211.21,213.01,1,3.3,0.09,2.0701,1.462,0.95,19.58,2.01,0.9,-0.22,I,0.77,19.81,31.795,13.13,-5.4965,183942727429,-4.613,16,10,13,4
10/14/16,214.15,214.69,213.03,213.12,1,3.27,0.09,2.0311,1.4664,0.93,19.48,2.13,0.89,-0.22,I,0.68,19.81,23.9447,13.25,-4.7921,183643016666,-4.5568,16,10,14,5
10/17/16,213.09,213.39,212.17,212.38,1,3.24,0.09,1.9499,1.4702,0.93,19.33,2.42,0.89,-0.22,I,0.69,19.81,17.9585,13.62,-5.133,182960169816,-5.2345,16,10,17,1
10/18/16,214.24,214.31,213.27,213.71,1,3.21,0.09,1.948,1.4735,0.9,19.23,2.72,0.86,-0.22,I,0.73,19.81,20.1955,13.01,-1.9239,184671736648,-1.8142,16,10,18,2
10/19/16,214.02,214.64,213.6,214.28,1,3.18,0.09,1.8572,1.4746,0.88,19.53,2.15,0.86,-0.22,B,0.72,19.81,27.0344,12.36,0.2381,186377256928,0.9221,16,10,19,3
10/20/16,213.87,214.53,213.11,213.88,1,3.14,0.09,1.8134,1.4758,0.85,19.53,2.42,0.85,-0.22,B,0.72,19.81,30.1911,11.5,-0.6098,186723543903,1.2247,16,10,20,4
10/21/16,213.88,214.08,212.76,213.98,1,3.11,0.09,1.7641,1.4746,0.83,19.43,2.44,0.85,-0.22,B,0.71,19.81,33.4949,10.74,-0.4744,186405830007,0.4857,16,10,21,5
10/24/16,215.0,215.32,214.48,214.89,1,3.07,0.09,1.7217,1.4711,0.83,19.08,2.77,0.84,-0.22,B,0.69,19.81,38.5964,10.37,0.4645,186641654859,0.6746,16,10,24,1
10/25/16,214.68,214.98,213.98,214.17,1,3.04,0.09,1.6495,1.4642,0.85,19.06,2.49,0.85,-0.23,B,0.44,19.81,39.5992,9.63,-0.6717,185481244971,-1.0982,16,10,25,2
10/26/16,213.21,214.42,212.93,213.74,1,3.0,0.09,1.6336,1.4536,0.88,19.23,2.19,0.86,-0.23,B,0.45,19.81,36.5926,9.43,-1.9723,185098079565,-1.5457,16,10,26,3
10/27/16,214.58,214.62,213.08,213.17,1,2.96,0.09,1.6242,1.4385,0.91,19.48,1.88,0.87,-0.23,I,0.44,19.81,28.348,9.94,-3.8976,184171354225,-2.5191,16,10,27,4
10/28/16,213.14,213.93,211.71,212.54,1,2.93,0.09,1.6838,1.4207,0.93,19.48,1.6,0.88,-0.22,I,0.46,19.81,21.261,10.7,-4.3099,183367971230,-3.2372,16,10,28,5
10/31/16,212.93,213.19,212.36,212.55,1,2.89,0.09,1.5984,1.4001,0.96,19.48,1.33,0.89,-0.22,I,0.43,19.81,16.2312,11.36,-3.6049,183416765461,-2.762,16,10,31,1
11/1/16,212.93,212.99,209.6,211.01,1,2.84,0.09,1.7776,1.3803,0.99,19.73,1.05,0.91,-0.22,I,0.43,19.81,12.1734,12.7,-5.5525,181578914424,-4.4548,16,11,1,2
11/2/16,210.65,211.1,209.23,209.74,1,2.8,0.09,1.7868,1.3626,1.01,19.84,0.93,0.92,-0.21,I,0.43,19.81,9.13,14.55,-7.2661,179094248982,-6.7889,16,11,2,3
11/3/16,209.99,210.24,208.46,208.78,1,2.75,0.09,1.7861,1.3486,1.07,20.33,0.5,0.94,-0.2,I,0.44,19.81,6.8475,16.47,-7.103,178622726626,-6.4029,16,11,3,4
11/4/16,208.91,209.89,208.38,208.55,1,2.7,0.09,1.7585,1.3366,1.07,20.23,0.25,0.94,-0.19,I,0.43,19.81,5.4123,18.19,-5.8282,178664607890,-5.3747,16,11,4,5
11/7/16,208.55,213.19,208.55,213.15,1,2.65,0.09,2.0467,1.3265,1.03,18.85,1.49,0.88,-0.19,I,1.04,19.81,10.5888,18.28,-1.7277,181664109162,-0.4671,16,11,7,1
11/8/16,212.69,214.77,212.38,214.11,1,2.6,0.09,2.081,1.3169,1.04,18.98,1.93,0.87,-0.18,I,1.06,19.81,16.653,18.06,-0.6359,181993827714,0.0982,16,11,8,2
